,name,iata_code
729,Chilliwack Airport,YCW
730,Clyde River Airport,YCY
731,Fairmont Hot Springs Airport,YCZ
732,Dawson City Airport,YDA
733,Burwash Airport,YDB
734,Deer Lake Airport,YDF
735,Dease Lake Airport,YDL
736,Ross River Airport,XRR
737,Dauphin Barker Airport,YDN
738,Dolbeau-Saint-Felicien Airport,YDO
739,Nain Airport,YDP
740,Dawson Creek Airport,YDQ
741,Edmonton International Airport,YEG
742,Arviat Airport,YEK
743,Elliot Lake Municipal Airport,YEL
744,Manitoulin East Municipal Airport,YEM
745,Estevan Airport,YEN
746,Fort Severn Airport,YER
747,Edson Airport,YET
748,Eureka Airport,YEU
749,Inuvik Mike Zubko Airport,YEV
750,Amos/Magny Airport,YEY
751,Fort Albany Airport,YFA
752,Iqaluit Airport,YFB
753,Fredericton Airport,YFC
754,Forestville Airport,YFE
755,Fort Hope Airport,YFH
756,Mont-Tremblant International Airport,YTM
757,Flin Flon Airport,YFO
758,Fort Resolution Airport,YFR
759,Fort Simpson Airport,YFS
760,Makkovik Airport,YMN
761,Texada Gillies Bay Airport,YGB
762,Fort Good Hope Airport,YGH
763,Kingston Norman Rogers Airport,YGK
764,La Grande Rivière Airport,YGL
765,Gimli Industrial Park Airport,YGM
766,Gods Lake Narrows Airport,YGO
767,Michel-Pouliot Gaspé Airport,YGP
768,Geraldton Greenstone Regional Airport,YGQ
769,Îles-de-la-Madeleine Airport,YGR
770,Igloolik Airport,YGT
771,Havre-Saint-Pierre Airport,YGV
772,Kuujjuarapik Airport,YGW
773,Gillam Airport,YGX
774,Grise Fiord Airport,YGZ
775,Quaqtaq Airport,YQC
776,Hudson Bay Airport,YHB
777,Vancouver Harbour Water Aerodrome,CXH
778,Dryden Regional Airport,YHD
779,Hope Airport / FVRD Regional Airpark,YHE
780,Hearst René Fontaine Municipal Airport,YHF
781,Nemiscau Airport,YNS
782,Ulukhaktok Holman Airport,YHI
783,Gjoa Haven Airport,YHK
784,John C. Munro Hamilton International Airport,YHM
785,Hornepayne Municipal Airport,YHN
786,Hopedale Airport,YHO
787,Chevery Airport,YHR
788,Haines Junction Airport,YHT
789,Montréal / Saint-Hubert Airport,YHU
790,Hay River / Merlyn Carter Airport,YHY
791,Halifax / Stanfield International Airport,YHZ
792,Atikokan Municipal Airport,YIB
793,Digby / Annapolis Regional Airport,YDG
794,St Augustin Airport,YIF
795,Ivujivik Airport,YIK
796,Pond Inlet Airport,YIO
797,Island Lake Airport,YIV
798,Jasper Airport,YJA
799,Fort Liard Airport,YJF
800,St Jean Airport,YJN
801,Dymond Airport,YJT
802,Kamloops John Moose Fulton Field Regional Airport,YKA
803,Collins Bay Airport,YKC
804,Aklavik/Freddie Carmichael Airport,LAK
